cluster_code,programme_name,requirements
1A,Bachelor of Laws (LL.B.),
2A,Bachelor in Business Administration,MAT ALTERNATIVE A/B -
2A,Bachelor of Library & Information Science,MAT ALTERNATIVE A/B -
2A,"Bachelor in Business Administration, With IT",MAT ALTERNATIVE A/B -
2A,Bachelor of Library and Information Studies,MAT ALTERNATIVE A/B -
2A,Bachelor of Business and Office Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Science in Information Sciences,MAT ALTERNATIVE A/B -
2A,Bachelor of Business Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Business Information and,MAT ALTERNATIVE A/B -
2A,Bachelor of Business Management (Marine Business Management),MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Information Sciences and,MAT ALTERNATIVE A/B -
2A,Bachelor of Business Management (Civil Aviation Management),MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Information Studies),MAT ALTERNATIVE A/B -
2A,"Bachelor of Arts (Business Studies, With IT)",MAT ALTERNATIVE A/B -
2A,Bachelor of Science in Information Science,MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Records Management and Information Technology),MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Innovation Technology,MAT ALTERNATIVE A/B -
2A,Bachelor of Co-operative Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Business Information Technology,MAT ALTERNATIVE A/B -
2A,Bachelor of Co-operative Business,MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Business Information,MAT ALTERNATIVE A/B -
2A,Bachelor of Co-operative and Community Development,MAT ALTERNATIVE A/B -
2A,Bachelor of Technology (Business Information Technology),MAT ALTERNATIVE A/B -
2A,Bachelor of Secretarial Management and Administration,MAT ALTERNATIVE A/B -
2A,Bachelor of Technology (Office Administration and Technology),MAT ALTERNATIVE A/B -
2A,Bachelor of Commerce,MAT ALTERNATIVE A/B -
2A,Bachelor of Entrepreneurship,MAT ALTERNATIVE A/B -
2A,Bachelor of Entrepreneurship & Small Business Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Entrepreneurship and Small Business,MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Entrepreneurship and Small Enterprises Management),MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Entrepreneurship),MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Entrepreneurship Studies),MAT ALTERNATIVE A/B -
2A,Bachelor of Science in Entrepreneurship,MAT ALTERNATIVE A/B -
2A,Bachelor of Procurement and Contract Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Procurement and Supply Chain Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Purchasing & Supplies Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Supply Chain Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Logistics and Supply Chain Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Procurement and Logistics Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Purchasing and Supplies Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Management Science),MAT ALTERNATIVE A/B -
2A,Bachelor of Science in Strategic Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Science (Strategic Management),MAT ALTERNATIVE A/B -
2A,Bachelor of Science In International Business Management,MAT ALTERNATIVE A/B -
2A,Bachelor of Science in Marketing With IT,MAT ALTERNATIVE A/B -
2A,Bachelor of Science In Co-operative and Entreprenuership Management,MAT ALTERNATIVE A/B -
2B,Bachelor of Project Planning and Management,
2B,Bachelor of Hotel & Hospitality Management,
2B,Bachelor of Science (Project Planning Management),
2B,Bachelor of Hotel Management,
2B,Bachelor of Science in Project Management,
2B,Bachelor of Hotels and Hospitality Management,
2B,Bachelor of Human Resources Management,
2B,Bachelor of Catering & Hospitality Management,
2B,Bachelor of Science (Human Resource Management),
2B,Bachelor of Science (Ecotourism & Hospitality Management),
2B,Bachelor of Human Resource Management,
2B,Bachelor of Science in Ecotourism,
2B,"Bachelor of Science in Human Resource Management, With IT",
2B,Bachelor of Eco-tourism and Hospitality Management,
2B,"Bachelor of Science (Eco-tourism, Hotel and Institution Management, With IT)",
2B,Bachelor of Science (Hospitality & Tourism Management),
2B,Bachelor of Science (Hospitality Management),
2B,Bachelor of Sustainable Tourism & Hospitality Management,
2B,Bachelor of Tourism & Hotel Management,
2B,Bachelor of Travel & Tours Operations Management,
2B,Bachelor of Science in Travel and Tourism,
2B,Bachelor of Catering & Hotel Management,
2B,Bachelor of Hotel and Hospitality Management,
2B,Bachelor of International Tourism Management,
2B,Bachelor of Science (Hospitality and Tourism Management),
2B,Bachelor of Science (Tourism Management),
2B,Bachelor of Science in Hospitality Management,
2B,Bachelor of Technology (Institutional Catering and Accommodation),
2B,Bachelor of Technology in Hotel & Hospitality Management,
2B,Bachelor of Tourism Management,
2B,Bachelor of Travel and Tours Operations Management,
2B,Bachelor of Science (Food Operations Management),
2B,Bachelor of Science in Food Service and Hospitality Management,
2B,Bachelor of Science (Food Service and Hospitality Management),
3A,Bachelor of Applied Communication,ENG/KIS - C+
3A,Bachelor of Science (Communication and Public Relations),ENG/KIS - C+
3A,Bachelor of Arts (Applied Linguistics),ENG/KIS - C+
3A,Bachelor of Science (Communication & Journalism),ENG/KIS - C+
3A,Bachelor of Arts (Communication & Media),ENG/KIS - C+
3A,Bachelor of Science (Comm. & Public Relations),ENG/KIS - C+
3A,"Bachelor of Arts (Drama and Theatre Studies, With IT)",ENG/KIS - C+
3A,Bachelor of Communication & Public Relations,ENG/KIS - C+
3A,"Bachelor of Arts (International Relations and Diplomacy ,With IT)",ENG/KIS - C+
3A,Bachelor of Communication and Public Relations,ENG/KIS - C+
3A,Bachelor of Arts (International Relations and Diplomacy),ENG/KIS - C+
3A,Bachelor of Science (Communication and Journalism),ENG/KIS - C+
3A,Bachelor of Arts in Government and International Relations,ENG/KIS - C+
3A,Bachelor of Arts (Communication & Media,ENG/KIS - C+
3A,Bachelor of Arts in International Relations,ENG/KIS - C+
3A,Bachelor of Arts (Communication and Media),ENG/KIS - C+
3A,"Bachelor of Arts (Language and Communication, With IT)",ENG/KIS - C+
3A,Bachelor of Broadcast Journalism,ENG/KIS - C+
3A,"Bachelor of Arts (Linguistics, Media and Communication)",ENG/KIS - C+
3A,Bachelor of Journalism,ENG/KIS - C+
3A,Bachelor of Arts (Linguistic),ENG/KIS - C+
3A,Bachelor of Journalism and Mass Communication,ENG/KIS - C+
3A,"Bachelor of Arts (Literature, With IT)",ENG/KIS - C+
3A,Bachelor of Corporate Communication and,ENG/KIS - C+
3A,Bachelor of Arts (Literature),ENG/KIS - C+
3A,Bachelor of Science (Corporate Communication,ENG/KIS - C+
3A,Bachelor of Arts in Linguistics and Literature,ENG/KIS - C+
3A,Bachelor of Science (Media Science),ENG/KIS - C+
3A,Bachelor of Arts (Theatre Arts & Film Technology),ENG/KIS - C+
3A,Bachelor of Technology (Journalism and Mass Communication),ENG/KIS - C+
3A,Bachelor of Arts (Translation and Interpretation),ENG/KIS - C+
3A,Bachelor of Film Animation,ENG/KIS - C+
3A,Bachelor of Communication & Journalism,ENG/KIS - C+
3A,Bachelor of Film Production and Animation,ENG/KIS - C+
3A,Bachelor of Communication and Media Studies,ENG/KIS - C+
3A,Bachelor of Arts in Mass Communication,ENG/KIS - C+
3A,Bachelor of Journalism & Mass Communication,ENG/KIS - C+
3A,Bachelor of Science in Mass Communication,ENG/KIS - C+
3A,Bachelor of Arts in Communication and Journalism,ENG/KIS - C+
3A,Bachelor of Mass Communication,ENG/KIS - C+
3A,Bachelor of Arts in Communication Studies,ENG/KIS - C+
3B,Bachelor of Arts (English & Communication),ENG C+
3C,Bachelor of Arts (Kiswahili and Communication),KIS C+
3D,Bachelor of Arts (With IT),
3D,Bachelor of Psychology (With IT),
3D,Bachelor of Arts,
3D,Bachelor of Science (Counselling Psychology),
3D,Bachelor of Arts (Anthropology),
3D,Bachelor of Arts (Counselling Psychology),
3D,Bachelor of Arts (Philosophy),
3D,Bachelor of Arts (Psychology),
3D,Bachelor of Arts in Philosophy,
3D,Bachelor of Arts in Counselling Psychology,
3D,"Bachelor of Arts (Philosophy, With IT)",
3D,Bachelor of Psychology,
3D,Bachelor of Science (Event and Convention Management),
3D,Bachelor of Arts (Sociology and Social Work),
3D,"Bachelor of Arts (Political Science, With IT)",
3D,Bachelor of Arts in Sociology,
3D,Bachelor of Arts (Criminology & Security Studies),
3D,Bachelor of Arts (Social Work),
3D,Bachelor of Arts in Criminology and Security Studies),
3D,Bachelor of Social Work,
3D,Bachelor of Arts (Criminology and Security Studies),
3D,Bachelor of Arts (Social Work),
3D,"Bachelor of Arts (Penology, Correction and Administration)",
3D,Bachelor of Social Work and Administration,
3D,"Bachelor of Arts in Criminology, Criminal Justice and Public Safety",
3D,"Bachelor of Arts (Sociology and Anthropology,",
3D,Bachelor of Conflict Resolution and Humanitarian,
3D,Bachelor of Arts (Sociology),
3D,Bachelor of Arts (Criminology and Penology),
3D,Bachelor of Science in Sociology,
3D,Bachelor of Science (Disaster Mitigation and,
3D,Bachelor of Science in Public Administration and Leadership Sustainable Development),
3D,Bachelor of Science in Medical Social Work,
3D,Bachelor of Science (Disaster Risk Management,
3D,"Bachelor of Arts (Criminology, With IT)",
3D,"Bachelor of Arts (Disaster Management, With IT)",
3D,Bachelor of Arts (Peace Education,
3D,Bachelor of Disaster Management & International,
3D,Bachelor of Criminology,
3D,Bachelor of Arts in Community Development,
3D,Bachelor of Science (Criminology and Security Studies),
3D,Bachelor of Science (Disaster Preparedness and,
3D,Bachelor of Arts (Development Studies,
3D,Bachelor of Arts (Peace and Conflict Studies),
3D,"Bachelor of Arts (Development Studies, With IT)",
3D,Bachelor of Arts Community Development,
3D,Bachelor of Arts (Gender and Development Studies),
3D,Bachelor of Community Development,
3D,"Bachelor of Arts (Gender Studies, With IT)",
3D,Bachelor of Development Studies,
3D,Bachelor of Arts (Gender and Development),
3D,Bachelor of Arts in Development Studies,
3D,Bachelor of Arts (Gender),
3D,Bachelor of Science (Community Development),
3D,Bachelor of Science (Public Management and Development),
3D,Bachelor of Science in Community Development,
3D,Bachelor of Public Management and Development,
3D,Bachelor of Science (Community Development,
3D,Bachelor of Science in Development Studies,
3D,Bachelor of Community Development and,
3D,Bachelor of Arts (Developmental and Policy Studies),
3D,Bachelor of Science (Community Resource,
3D,Bachelor of Arts in Management,
3D,Bachelor of Science in Community Resource Management,
3D,Bachelor of Arts in Leadership and Philosophy,
3D,Bachelor of Arts (Political Science),
3D,Bachelor of Arts in Child Care and Protection,
3E,"Bachelor of Arts (Fine Art, With IT)",ARD/COMP/ENG/KIS– C+
3E,"Bachelor of Science (Graphic, Communication and Advertising)",ARD/COMP/ENG/KIS– C+
3E,Bachelor of Arts (Fine Arts),ARD/COMP/ENG/KIS– C+
3E,"Bachelor of Science (Graphic, Comm. & Advertising)",ARD/COMP/ENG/KIS– C+
3E,Bachelor of Science in Gaming and Animation Technology,ARD/COMP/ENG/KIS– C+
4A,Bachelor of Science (Geomatic & Geospatial Information Systems),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Applied Science (Geo-informatics),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science (Geospatial Information Science and Remote Sensing),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science (Geomatic Engineering and Geospatial Information Systems),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,"Bachelor of Science (Geospatial Information Science, With IT)",MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Technology (Geospatial Engineering Technology),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Technology (Geoinformation Technology),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science (Geospatial Information Science),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science (Geospatial Engineering),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science in Geospatial Information Science,MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Engineering (Geospatial Engineering),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science (Spatial Management),MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4A,Bachelor of Science in Geomatic Engineering and Geospatial Information Systems,MAT ALTERNATIVE A - C+ PHY - C+ GEO – C (PLAIN)
4B,Bachelor of Science (Geophysical and Mineralogy),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,"Bachelor of Science (Earth Science, With IT)",MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science (Meteorology),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science (Geology),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science (Astronomy and Astrophysics),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science (Geophysics),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science in Mining Physics (Geophysics),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science in Geophysics,MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
4B,Bachelor of Science (Hydrology and Water Resources Management),MAT ALTERNATIVE A - C+ PHY - C+ GEO/CHE - C (PLAIN)
5A,Bachelor of Engineering (Aeronautical Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Civil and Structural Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Chemical and Process Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Civil Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Civil & Structural Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Civil Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Civil and Structural Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Electrical and Communication Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Civil Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Electronic and Computer Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Electrical and Electronics,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Electronic and Computer Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Electrical and Electronic,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Mechanical and Industrial Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Electrical and Telecommunication,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Mechanical & Manufacturing Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Mechanical & Production,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Mechanical Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Mechanical and Production,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Mechanical Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Mechanical Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Industrial and Textile Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Industrial and Textile,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Electrical and Electronic Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Mechatronic Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Aerospace Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Electrical and Electronics Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Engineering (Chemical Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Electrical & Electronics Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Marine Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Water and Environmental Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Marine Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Agricultural Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Petroleum Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science (Telecommunication and Information Engineering) Bahelor of Science in Mining and Mineral Process Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5A,Bachelor of Science in Telecommunication and Information Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ ENG/KIS - C+
5B,Bachelor of Science (Analytical Chemistry With Management),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science (Industrial Chemistry With Management),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science in Analytical Chemistry,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,"Bachelor of Science (Industrial Chemistry, With IT)",MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science (Analytical Chemistry),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science in Industrial Chemistry,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science in Analytical Chemistry With Computing,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science (Industrial Chemistry),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,"Bachelor of Science Chemistry (Inorganic, Physical and Organic Options)",MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Science (Petroleum Chemistry),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Technology in Applied Chemistry (Analytical & Industrial Options),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5B,Bachelor of Technology (Industrial and Applied Chemistry),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE - C+
5C,Bachelor of Science (Control and Instrumentation),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Renewable Energy and Environmental Physics),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science Instrumentation & Control,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science in Renewable Energy and Environmental Physics,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science in Control and Instrumentation,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Renewable Energy),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Microprocessor Technology and Instrumentation),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Renewable Energy Technology and Management),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Instrumentation & Control Engineering),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Renewable Energy and Bio-fuels Technology),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Telecommunication & Information Technology),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Renewable Energy and Biofuels Technology),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Manufacturing Engineering & Technology),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Energy Technology),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Applied Optics and Lasers),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Electronics),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science Engineering Physics,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science in Engineering Physics,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Applied Bioengineering),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science in Applied Bioengineering,MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5C,Bachelor of Science (Biomedical Engineering),MAT ALTERNATIVE A - C (PLAIN) PHY – C (PLAIN) CHE – C (PLAIN)
5D,Bachelor of Science (Agricultural and Biosystems Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ BIO - C+
5D,Bachelor of Engineering (Agricultural & Bio-systems Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ BIO - C+
5D,Bachelor of Science (Agricultural & Bio-systems Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ BIO - C+
5D,Bachelor of Science in Agricultural and Biosystems Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+ BIO - C+
5E,Bachelor of Technology (Civil Engineering Technology),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Technology in Electrical and Electronic Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Technology in Medical Engineering,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Industrial Technology,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Science (Renewable Energy and Technology),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Science in Renewable Energy and Technology,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Technology in Renewable Energy & Environmental Physics,MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5E,Bachelor of Technology (Chemical Engineering),MAT ALTERNATIVE A - C+ PHY - C+ CHE - C+
5F,Bachelor of Education in Technology (Civil Engineering),PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
5F,Bachelor of Education in Technology (Mechanical,PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
5F,Bachelor of Education in Technology (Electrical &,PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
5F,Bachelor of Education Technical and Vocational Education,PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
5F,Bachelor of Education (Technology),PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
5F,Bachelor of Education (Technology Education),PHY - C+ MAT ALTERNATIVE A - C+ CHE - C+
6A,Bachelor of Architectural Studies/Bachelor of Architecture,MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6A,Bachelor of Quantity Surveying,MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6A,Bachelor of Architecture,MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6A,Bachelor of Science (Quantity Surveying),MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6A,Bachelor of Architectural Technology,MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6A,Bachelor of Landscape Architecture,MAT ALTERNATIVE A - C+ PHY - C+ ENG/KIS - C+
6B,Bachelor of Arts (Planning),MAT ALTERNATIVE A - C (Plain) ENG/KIS - C+ GEO – C (PLAIN)
6B,Bachelor of Construction Management,MAT ALTERNATIVE A - C (Plain) ENG/KIS - C+ GEO – C (PLAIN)
6B,Bachelor of Arts (Spatial Planning),MAT ALTERNATIVE A - C (Plain) ENG/KIS - C+ GEO – C (PLAIN)
